cell_type,cell_type_labels
GABAergic neuron,GABA neuron
astrocyte,Astrocyte
capillary endothelial cell,Cap. endothelial
central nervous system macrophage,CNS macrophage
cerebellar granule cell,Granule
differentiation-committed oligodendrocyte precursor,Diff.-comm. oligo. precursor
endothelial cell of artery,Artery endothelial
glutamatergic neuron,GLUT  Neuron
leukocyte,Leukocyte
microglial cell,Microglial
mural cell,Mural
neuron,Neuron
oligodendrocyte,Oligo.
oligodendrocyte precursor cell,Oligo. precursor
vascular associated smooth muscle cell,Vascuclar SMC